

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
141.215  000.327  000.327: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/autoload/provider/clipboard.vim
141.221  000.137: before starting main loop
141.792  000.570: first screen update
141.792  000.001: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.313  000.306: event init
000.613  000.300: early init
000.939  000.326: locale set
000.996  000.057: init first window
001.559  000.563: inits 1
001.579  000.020: window checked
001.582  000.003: parsing arguments
002.414  000.030  000.030: require('vim.shared')
002.475  000.027  000.027: require('vim._options')
002.476  000.060  000.033: require('vim._editor')
002.478  000.171  000.081: require('vim._init_packages')
002.479  000.727: init lua interpreter
002.749  000.270: expanding arguments
002.773  000.024: inits 2
002.978  000.205: init highlight


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.012  000.012: --- NVIM STARTING ---
000.168  000.155: event init
000.273  000.105: early init
000.511  000.239: locale set
000.592  000.080: init first window
001.043  000.451: inits 1
001.064  000.022: window checked
001.066  000.002: parsing arguments
001.353  000.020  000.020: require('vim.shared')
001.401  000.021  000.021: require('vim._options')
001.402  000.047  000.026: require('vim._editor')
001.403  000.111  000.044: require('vim._init_packages')
001.404  000.227: init lua interpreter
002.755  001.351: expanding arguments
002.800  000.045: inits 2
002.965  000.165: init highlight
002.966  000.001: waiting for UI
003.092  000.126: done waiting for UI
003.102  000.010: clear screen
003.213  000.111: init default mappings & autocommands
003.705  000.089  000.089: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/ftplugin.vim
003.792  000.018  000.018: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/indent.vim
004.233  000.005  000.005: require('vim.keymap')
004.752  000.610  000.605: require('core.keymaps')
005.233  000.480  000.480: require('core.options')
005.445  000.210  000.210: require('core.autocommands')
006.051  000.437  000.437: require('lazy')
006.070  000.009  000.009: require('ffi')
006.115  000.043  000.043: require('vim.loader')
006.170  000.015  000.015: require('vim.fs')
006.372  000.245  000.230: require('lazy.stats')
006.476  000.081  000.081: require('lazy.core.util')
006.673  000.196  000.196: require('lazy.core.config')
006.897  000.096  000.096: require('lazy.core.handler')
007.030  000.132  000.132: require('lazy.core.plugin')
007.039  000.365  000.137: require('lazy.core.loader')
007.624  000.118  000.118: require('plugins.alpha')
007.742  000.109  000.109: require('plugins.codeium')
007.842  000.091  000.091: require('plugins.colorizer')
008.058  000.206  000.206: require('plugins.colorscheme')
008.259  000.182  000.182: require('plugins.comment')
008.413  000.141  000.141: require('plugins.completion')
008.555  000.120  000.120: require('plugins.dressing')
008.678  000.117  000.117: require('plugins.formatting')
008.777  000.093  000.093: require('plugins.gitsigns')
008.935  000.150  000.150: require('plugins.harpoon')
009.110  000.160  000.160: require('plugins.illuminate')
009.270  000.150  000.150: require('plugins.indentline')
009.430  000.152  000.152: require('plugins.linting')
009.594  000.155  000.155: require('plugins.lsp')
009.802  000.192  000.192: require('plugins.lualine')
009.965  000.114  000.114: require('plugins.motion')
010.103  000.131  000.131: require('plugins.noice')
010.232  000.076  000.076: require('plugins.nvim-spider')
010.308  000.067  000.067: require('plugins.nvim-tree')
010.381  000.064  000.064: require('plugins.nvim-treesitter')
010.536  000.147  000.147: require('plugins.nvim-treesitter-text-objects')
